        n          |         n0         |      elements      |      time 
4                  | *CONVENTIONAL*     | [-1, 0, 1]         | 0.00016689300537109375
4                  | 2                  | [-1, 0, 1]         | 0.0002532005310058594
5                  | *CONVENTIONAL*     | [-1, 0, 1]         | 5.0067901611328125e-05
5                  | 3                  | [-1, 0, 1]         | 0.00019598007202148438
6                  | *CONVENTIONAL*     | [-1, 0, 1]         | 8.392333984375e-05
6                  | 3                  | [-1, 0, 1]         | 0.00010609626770019531
7                  | *CONVENTIONAL*     | [-1, 0, 1]         | 0.00012612342834472656
7                  | 4                  | [-1, 0, 1]         | 0.00023818016052246094
8                  | *CONVENTIONAL*     | [-1, 0, 1]         | 0.00018715858459472656
8                  | 4                  | [-1, 0, 1]         | 0.00019979476928710938
9                  | *CONVENTIONAL*     | [-1, 0, 1]         | 0.000263214111328125
9                  | 5                  | [-1, 0, 1]         | 0.0003898143768310547
10                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0003578662872314453
10                 | 5                  | [-1, 0, 1]         | 0.0003571510314941406
11                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0004799365997314453
11                 | 6                  | [-1, 0, 1]         | 0.0006167888641357422
12                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0006132125854492188
12                 | 6                  | [-1, 0, 1]         | 0.0005919933319091797
13                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0007870197296142578
13                 | 7                  | [-1, 0, 1]         | 0.0009539127349853516
14                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0010192394256591797
14                 | 7                  | [-1, 0, 1]         | 0.0009229183197021484
15                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.001230001449584961
15                 | 8                  | [-1, 0, 1]         | 0.0013887882232666016
16                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0015110969543457031
16                 | 8                  | [-1, 0, 1]         | 0.0013549327850341797
17                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0017650127410888672
17                 | 9                  | [-1, 0, 1]         | 0.001962900161743164
18                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0020918846130371094
18                 | 9                  | [-1, 0, 1]         | 0.0019121170043945312
19                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0024797916412353516
19                 | 10                 | [-1, 0, 1]         | 0.0026128292083740234
20                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.002856731414794922
20                 | 10                 | [-1, 0, 1]         | 0.002582073211669922
21                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.003290891647338867
21                 | 11                 | [-1, 0, 1]         | 0.003445148468017578
22                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.003778219223022461
22                 | 11                 | [-1, 0, 1]         | 0.0034151077270507812
23                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.00432586669921875
23                 | 12                 | [-1, 0, 1]         | 0.004445791244506836
24                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0048980712890625
24                 | 12                 | [-1, 0, 1]         | 0.004408836364746094
25                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.00555109977722168
25                 | 13                 | [-1, 0, 1]         | 0.005625724792480469
26                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.006214141845703125
26                 | 13                 | [-1, 0, 1]         | 0.005705118179321289
27                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0083160400390625
27                 | 14                 | [-1, 0, 1]         | 0.00781702995300293
28                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.009647846221923828
28                 | 14                 | [-1, 0, 1]         | 0.007394075393676758
29                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.00917673110961914
29                 | 15                 | [-1, 0, 1]         | 0.008616924285888672
30                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.009550094604492188
30                 | 15                 | [-1, 0, 1]         | 0.008510828018188477
31                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.010519027709960938
31                 | 16                 | [-1, 0, 1]         | 0.010334968566894531
32                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.011638879776000977
32                 | 16                 | [-1, 0, 1]         | 0.010360002517700195
33                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0126800537109375
33                 | 17                 | [-1, 0, 1]         | 0.012516975402832031
34                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.013876914978027344
34                 | 17                 | [-1, 0, 1]         | 0.012354135513305664
35                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.015120267868041992
35                 | 18                 | [-1, 0, 1]         | 0.014664888381958008
36                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.01650381088256836
36                 | 18                 | [-1, 0, 1]         | 0.014608144760131836
37                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.01786208152770996
37                 | 19                 | [-1, 0, 1]         | 0.017232894897460938
38                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.01931595802307129
38                 | 19                 | [-1, 0, 1]         | 0.017161846160888672
39                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.020882844924926758
39                 | 20                 | [-1, 0, 1]         | 0.020009994506835938
40                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.022572994232177734
40                 | 20                 | [-1, 0, 1]         | 0.02010321617126465
41                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.02421879768371582
41                 | 21                 | [-1, 0, 1]         | 0.023234128952026367
42                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.026070117950439453
42                 | 21                 | [-1, 0, 1]         | 0.023107051849365234
43                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.02790093421936035
43                 | 22                 | [-1, 0, 1]         | 0.026594877243041992
44                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.02998828887939453
44                 | 22                 | [-1, 0, 1]         | 0.026584863662719727
45                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.03232979774475098
45                 | 23                 | [-1, 0, 1]         | 0.030351877212524414
46                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.03428816795349121
46                 | 23                 | [-1, 0, 1]         | 0.030397891998291016
47                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.037534236907958984
47                 | 24                 | [-1, 0, 1]         | 0.034620046615600586
48                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.03888392448425293
48                 | 24                 | [-1, 0, 1]         | 0.03443408012390137
49                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.04139113426208496
49                 | 25                 | [-1, 0, 1]         | 0.039010047912597656
50                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.04401206970214844
50                 | 25                 | [-1, 0, 1]         | 0.03863406181335449
51                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.04669022560119629
51                 | 26                 | [-1, 0, 1]         | 0.04386782646179199
52                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.0503847599029541
52                 | 26                 | [-1, 0, 1]         | 0.0444338321685791
53                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.052781105041503906
53                 | 27                 | [-1, 0, 1]         | 0.04906296730041504
54                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.055318593978881836
54                 | 27                 | [-1, 0, 1]         | 0.04913926124572754
55                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.05841517448425293
55                 | 28                 | [-1, 0, 1]         | 0.0545198917388916
56                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.06163311004638672
56                 | 28                 | [-1, 0, 1]         | 0.05490684509277344
57                 | *CONVENTIONAL*     | [-1, 0, 1]         | 0.06506919860839844
57                 | 29                 | [-1, 0, 1]         | 0.06067705154418945
